#{"t_start": 1607709882.2732975, "env_id": null}
r,l,t
-2070.782197,78,0.384513
-2305.618535,74,0.593411
-1882.849421,72,0.79996
-2037.886733,74,1.061056
-1425.693625,75,1.363549
-2254.0641,78,1.656077
-1638.153501,68,1.890344
-1797.3268,74,2.00251
-1587.355108,74,2.14963
-2549.739736,81,2.297325
-1069.704896,71,2.399364
-1944.920245,78,2.509593
-1438.67368,76,2.614004
-1390.133213,68,2.727518
-1925.820434,65,2.850421
-1921.570055,76,2.958354
-1994.986674,74,3.06438
-2313.234251,76,3.170352
-657.030912,76,3.277511
-2136.10201,64,3.374191
-1166.57362,68,3.474346
-1582.103699,67,3.574545
-2321.114833,81,3.688269
-1738.314646,87,3.810018
-1275.619967,72,3.913177
-1660.291534,64,4.010221
-1898.234669,88,4.129996
-1286.040855,74,5.113768
-2202.050995,82,5.240036
-1882.366631,65,5.339149
-1795.827285,65,5.435655
-1342.269252,75,5.555926
-1864.717012,80,5.666539
-2107.855135,81,5.78478
-1751.404755,75,5.906021
-2020.398875,66,6.007457
-1990.229693,78,6.125386
-1897.014999,83,6.240522
-1353.972863,72,6.342634
-1238.615435,67,6.44131
-2011.357594,72,6.544441
-1587.739202,76,6.651075
-1680.093257,68,6.751084
-1719.628523,68,6.850576
-2184.21588,75,6.959241
-1835.304473,60,7.049451
-1287.476117,70,7.148211
-662.761165,71,7.252402
-1892.919486,69,7.351323
-2325.650489,73,7.455876
-2141.561883,79,7.565573
-2188.347443,78,7.674364
-1749.617749,79,7.788731
-1901.252271,80,7.897715
-2289.380864,78,8.005861
-1991.735054,72,8.978021
-1962.08569,78,9.08651
-2209.478834,90,9.20721
-1813.207761,81,9.320487
-2322.682091,79,9.430255
-1890.452403,76,9.538417
-1641.987299,70,9.640235
-2050.403129,72,9.747005
-1897.350028,82,9.867012
-2990.899694,75,9.990278
-1916.167009,88,10.113434
-2189.213247,98,10.248365
-1654.08278,80,10.362392
-1616.603531,62,10.460064
-1964.83787,77,10.566139
-1058.810802,75,10.672418
-1266.18833,75,10.783164
-2127.358877,80,10.9272
-1401.01256,83,11.172573
-1720.994323,64,11.295669
-1752.773831,75,11.405033
-2647.513084,76,11.535582
-2108.485107,72,11.64101
-1645.378856,68,11.78875
-1787.840126,62,11.932449
-1001.035621,81,12.109487
-1847.277198,76,12.276723
-1838.540336,86,13.453366
-2191.945151,75,13.571126
-2075.463325,72,13.711593
-1119.158319,73,13.816819
-1672.077011,72,13.920212
-1508.921886,89,14.064369
-1451.546729,72,14.177496
-2174.105236,70,14.28132
-1245.277173,78,14.396916
-1355.456775,71,14.5271
-2024.25882,77,14.6358
-2667.723274,72,14.738099
-2206.576457,73,14.850542
-2218.567346,87,15.120003
-1769.066433,72,15.596388
-1719.372801,84,15.800709
-1868.924406,73,15.913587
-1722.087655,68,16.037865
-1795.595768,89,16.158946
-2243.954785,62,16.254954
-2017.245198,78,16.430193
-2165.587603,67,16.59173
-2242.670259,79,16.741555
-1700.099193,70,16.894605
-1915.431765,76,17.057096
-2321.675057,80,17.18445
-1377.450142,76,17.304227
-1956.346322,83,18.370904
-684.090845,78,18.516555
-1845.28816,77,18.652293
-2071.102143,83,18.798307
-2091.535795,79,18.912099
-1462.265019,88,19.034132
-2108.716197,84,19.151558
-1631.081681,75,19.273014
-1429.704985,78,19.384421
-1319.181641,74,19.490323
-1625.932031,69,19.592596
-1066.982801,74,19.701941
-1916.80285,67,19.806795
-2371.399296,73,19.940048
-847.229685,78,20.091732
-1648.384263,72,20.202464
-2084.970877,83,20.31404
-1976.17553,73,20.426669
-1815.67278,79,20.539591
-1643.139763,70,20.647211
-1985.006167,79,20.756988
-1398.681562,68,20.855695
-2312.565906,79,20.96616
-2236.095243,86,21.082728
-1755.616206,69,21.182505
-2299.496373,77,21.298769
