#{"t_start": 1607735214.9873712, "env_id": null}
r,l,t
-2473.03469,112,38.298726
-2855.52944,128,38.415462
-2030.069056,111,38.522047
-2621.333528,131,38.656472
-1859.145863,114,38.766962
-3219.687108,126,38.898878
-3283.193395,125,39.014625
-2166.875335,114,39.126049
-2247.533754,122,39.239965
-1672.25892,128,39.356032
-3244.12878,122,39.467723
-2070.889206,123,40.484841
-2349.529795,116,40.599664
-1981.24494,116,40.708265
-1985.17475,131,40.828236
-3108.673885,134,40.94924
-1884.534493,124,41.063493
-2590.726507,111,41.168195
-3392.807524,112,41.273934
-1993.28831,121,41.385637
-2454.063065,117,41.495085
-2703.289284,111,41.600886
-2048.875184,132,41.720423
-1826.554732,120,41.83148
-2634.060644,104,41.931628
-2887.835645,115,42.041196
-2822.573016,112,42.146464
-4033.696479,125,42.260513
-2375.105438,132,43.289449
-2351.086563,135,43.418862
-2294.147478,114,43.526655
-3315.666769,119,43.641865
-2888.28162,124,43.767335
-3132.538812,111,43.883691
-2979.051592,133,44.008472
-2625.820065,125,44.127507
-1632.048474,115,44.23693
-1824.730003,117,44.346587
-2083.177577,127,44.46273
-2449.216662,133,44.582771
-2408.041612,121,44.695221
-3832.33248,122,44.806938
-2153.671805,128,44.92323
-3082.82877,115,45.032312
-2938.057836,114,46.047916
-2320.518804,138,46.178986
-3533.774796,126,46.297591
-1983.662288,107,46.398872
-3862.667728,131,46.518037
-2025.846986,114,46.625601
-2439.75443,112,46.733308
-1998.678218,121,46.845032
-2163.382727,124,46.958662
-1827.096075,127,47.074141
-1844.87464,132,47.193525
-1316.249008,114,47.299845
-2514.974737,143,47.426555
-2000.2288,119,47.537122
-2245.283816,111,47.641853
-2174.467405,109,47.747404
-1913.145876,109,47.850625
-3315.096166,121,48.906631
-3114.413247,102,49.077805
-1615.545153,126,49.204044
-1449.477253,123,49.324903
-2270.56367,126,49.439998
-2347.795375,111,49.544968
-2333.756734,113,49.650651
-1915.759044,120,49.761332
-2020.722467,124,49.876308
-3998.245522,119,49.987124
-2138.204263,133,50.107965
-2845.860202,140,50.232893
-2597.191891,111,50.338019
-2874.296909,105,50.439336
-2042.261018,143,50.567561
-2280.597821,143,50.695919
-2663.557537,135,50.817477
-2356.46486,125,51.845587
-2694.258476,122,51.965467
-2921.030722,104,52.06722
-2379.157993,131,52.186172
-2345.479984,139,52.312786
-2573.809532,131,52.43233
-2525.163733,137,52.55759
-3267.893643,115,52.666971
-2592.592157,140,52.792217
-2921.410206,135,52.916186
-2249.898828,110,53.022156
-1813.00991,118,53.134449
-2888.351318,110,53.238899
-3264.216316,134,53.361795
-2763.916826,133,53.483052
-1732.782391,140,53.610059
-1846.811008,135,54.786993
-2030.466144,126,54.909904
-1817.830757,149,55.04536
-3572.789203,118,55.154679
-2532.808142,140,55.280493
-2658.687583,127,55.398047
-2701.938851,117,55.507703
-3223.087255,116,55.616044
-1632.170013,127,55.733047
-2064.177681,127,55.850108
-2286.633567,146,55.979825
-2147.306146,138,56.10408
-2011.620827,128,56.220839
-2341.013648,123,56.334047
-3122.331545,129,56.452056
-2471.378707,147,56.58204
-1714.680911,123,57.606406
-1981.571884,121,57.726699
-2916.430242,114,57.835354
-2166.026649,123,57.949364
-2207.921305,127,58.065681
-2559.220219,138,58.190422
-2865.541941,112,58.29617
-3110.873851,131,58.414838
-3282.677414,128,58.531396
-2699.726106,127,58.647073
-2242.560186,133,58.767048
-2716.194312,121,58.897267
-1326.882213,118,59.021022
-1884.958131,115,59.139038
-2222.977016,134,59.262826
-2079.355034,111,59.370502
-3259.847261,128,60.399023
-2565.687286,116,60.514161
-2779.035768,153,60.654824
-2914.620787,119,60.765395
-2523.28836,131,60.885623
-2589.248701,102,60.983469
-2322.256114,142,61.110576
-2084.65681,114,61.218364
-3190.885102,145,61.348663
-2484.560831,129,61.46674
-2636.768498,118,61.576627
-1815.321468,132,61.696562
-4450.075444,121,61.808271
-3238.875913,111,61.913791
-2908.262835,123,62.027278
-2948.010521,142,62.154497
-3025.86489,117,62.26374
-3114.975558,134,63.297412
-1806.616638,115,63.411747
-2148.610574,129,63.53074
-2179.009954,109,63.635252
-3055.576922,135,63.758343
-2113.023692,124,63.872326
-3662.11537,110,63.981308
-2520.352931,128,64.102021
-2142.950466,120,64.221441
-2416.705983,113,64.329277
-2197.773884,130,64.450917
-1902.411304,114,64.560415
-2538.522811,106,64.661091
-1492.788829,115,64.768066
-2288.314334,116,64.876637
-2237.333928,130,64.999566
-3257.345067,138,66.034416
-2553.517006,138,66.166787
-2400.926066,122,66.284774
-2494.417985,113,66.392814
-1905.157189,134,66.515839
-2428.329827,139,66.642931
-2376.880697,116,66.751298
-3510.97289,110,66.855319
-2920.467357,131,66.973993
-3149.241969,116,67.082249
-2372.238895,121,67.194252
-2631.459755,119,67.306209
-3357.973717,115,67.41498
-2247.012056,145,67.544814
-3056.86817,141,67.67046
-3254.608582,141,67.796729
-1382.794794,132,67.917222
-2239.061807,111,68.935282
-2311.812621,118,69.065972
-3498.319376,122,69.192346
-2917.810258,136,69.330215
-1997.161063,121,69.443974
-1605.244614,141,69.572543
-3226.665569,124,69.686967
-3106.736675,106,69.787716
-1985.506834,143,69.915811
-2523.254612,114,70.02331
-2070.477716,138,70.147327
-1689.345518,123,70.260961
-2099.32011,146,70.39086
-2307.605253,125,70.505203
-2171.20472,144,70.633181
-2189.426014,127,70.749542
-2209.266057,114,71.767321
-3347.624812,121,71.886501
-2771.446538,116,71.995932
-1925.539802,113,72.103009
-2304.70265,116,72.211404
-1863.576894,121,72.323792
-3134.893282,129,72.441766
-1962.278383,130,72.561339
-2787.527609,151,72.695236
-1864.17959,135,72.817582
-2804.961344,122,72.930479
-2186.216987,117,73.039068
-3277.271852,131,73.157666
-1982.304043,120,73.269342
-2560.049237,124,73.382935
-2318.04473,148,73.515896
-2009.764855,141,74.596467
-2303.51766,139,74.731222
-1852.667687,134,74.852062
-3319.215515,134,74.977333
-1952.588117,145,75.107764
-1990.851819,114,75.214184
-2720.936664,124,75.328338
-2762.742616,133,75.450045
-3518.959208,121,75.561428
-1746.37098,147,75.692597
-3593.851862,115,75.799782
-1907.129276,117,75.909043
-2193.392082,125,76.023342
-2027.517996,119,76.134119
-3217.116257,149,76.266439
-2127.642092,119,76.37649
-2060.787473,126,77.403911
-2662.539619,119,77.521504
-3344.619141,124,77.635497
-2475.392074,118,77.745296
-2497.518636,161,77.885223
-2767.798155,110,77.98925
-2482.758606,135,78.111507
-2456.523806,140,78.235949
-4287.211485,116,78.343956
-2488.332004,144,78.471699
-3075.959413,111,78.576105
-2122.448821,123,78.689977
-2937.362303,111,78.796432
-2676.456516,137,78.920483
-1768.193757,131,79.039589
-2354.490745,136,79.166752
-2038.330951,132,80.218832
-2253.521936,135,80.349077
-2135.76449,132,80.469598
-2127.251512,134,80.589958
-2373.458273,113,80.696437
-1869.968405,125,80.810707
-2388.562925,142,80.93935
-2702.35118,134,81.061174
-2932.763417,128,81.17759
-1972.092705,116,81.285924
-3212.108517,125,81.40126
-2455.584293,139,81.526015
-2403.631876,124,81.640335
-1754.344724,117,81.750084
-2671.677425,131,81.868948
-2205.045997,114,81.976127
-2087.553447,134,83.010519
-2461.434689,122,83.130474
-2703.100653,113,83.237232
-3609.358189,119,83.347844
-2435.219788,132,83.467856
-1502.67404,128,83.584009
-2291.624988,127,83.699744
-2038.477787,136,83.822654
-2923.644917,134,83.943691
-1787.2515,145,84.075376
-2733.3972,130,84.203074
-1834.153333,135,84.331411
-2085.69937,126,84.455483
-1394.444982,110,84.560556
-2579.50923,125,84.679358
-2706.496536,125,84.796703
-1489.051445,127,85.826243
-2209.451858,122,85.945804
-3510.323749,142,86.074739
-2231.02729,132,86.195043
-2238.703727,133,86.316229
-1702.238053,127,86.433825
-3045.230118,131,86.553306
-2492.178167,116,86.661772
-2736.779305,132,86.781864
-3406.958447,107,86.884059
-2713.166003,132,87.004516
-2129.92355,139,87.131782
-2850.735673,116,87.239522
-2358.503828,129,87.357499
-2885.84852,120,87.468934
-2262.993137,135,87.590649
-1995.304249,128,88.619304
-2235.375376,144,88.755716
-2669.120404,158,88.895329
-4038.895356,117,89.004456
-2743.897612,118,89.115446
-3138.901221,115,89.227822
-2124.540031,140,89.36499
-2344.147563,115,89.49588
-2803.83748,117,89.60974
-2504.401907,145,89.743366
-1592.459773,134,89.866703
-3206.067265,121,89.978393
-2232.265918,113,90.084988
-2397.068103,120,90.196052
-1360.120793,131,90.315101
-2817.404679,123,90.43144
-2036.335046,119,91.453776
-2318.769991,149,91.594609
-2133.524326,151,91.728295
-2182.271389,130,91.846689
-1921.836875,137,91.970344
-2355.882849,118,92.080076
-3876.45958,133,92.20019
-1892.470547,125,92.320824
-3092.942776,114,92.428558
-2722.858766,141,92.554991
-2836.414895,147,92.684736
-2951.909772,127,92.800407
-1756.758166,148,92.93212
-3276.457969,122,93.044918
-2222.819328,152,93.177906
-2073.09444,147,94.218504
-1206.33232,139,94.355249
-2339.952486,122,94.476004
-2296.288495,139,94.608926
-2361.296973,138,94.733325
-1962.110618,124,94.851412
-2864.750621,114,94.961239
-2030.437698,123,95.074045
-2840.278727,133,95.193317
-3873.953518,119,95.303356
-2274.506303,133,95.423938
-1714.553807,125,95.538465
-3016.362414,130,95.656495
-2491.852979,140,95.781231
-1871.440984,127,95.898384
-1804.040892,126,96.014027
-4170.613888,130,97.043538
-4191.798097,117,97.159792
-2671.158282,147,97.29396
-2190.682464,130,97.411406
-1994.316659,128,97.527314
-1991.734568,121,97.638858
-2178.34854,136,97.760729
-1504.700111,116,97.869446
-2511.898895,120,97.980392
-1925.687624,125,98.095225
-2354.702804,110,98.198999
-1844.452398,126,98.314899
-2237.880267,129,98.432234
-3503.881413,152,98.566112
-4005.929509,119,98.676381
-2648.266308,116,98.783939
-2744.412961,134,99.955844
-2082.525864,121,100.07604
-2141.459552,152,100.215857
-2218.592007,126,100.332304
-2444.561642,137,100.455858
-1613.751644,130,100.572984
-2879.546201,133,100.693005
-2764.977108,137,100.817127
-2993.570762,132,100.936667
-2649.57706,142,101.062413
-2616.785328,138,101.184872
-1696.845061,129,101.301526
-1911.054931,135,101.422615
-1821.478527,137,101.545095
-2090.365519,139,101.669225
-2468.19048,145,102.706773
-2476.035868,137,102.837666
-2599.045356,139,102.967553
-1730.38895,133,103.087901
-1557.373864,127,103.203111
-2212.458557,140,103.328259
-2577.448012,124,103.442543
-2956.938567,131,103.560501
-1909.387175,133,103.680123
-1914.945749,117,103.7885
-2473.466645,115,103.895902
-2426.456059,119,104.006471
-2801.032002,127,104.12146
-1165.847172,125,104.234779
-1501.111624,111,104.339123
-2440.938977,120,104.454207
-1448.606564,144,105.512694
-1623.926211,144,105.649319
-1852.095174,130,105.771757
-1901.701346,137,105.8948
-1843.304818,140,106.021065
-2552.587905,129,106.139377
-2047.883724,141,106.265097
-2577.762587,114,106.371523
-2794.456068,120,106.482272
-2516.990733,138,106.607348
-2093.442682,138,106.731028
-2479.996342,144,106.860006
-1956.428532,129,106.977534
-3293.281506,117,107.086105
-2491.164154,146,107.215578
-2008.238666,121,107.326998
-3184.902133,116,108.347536
-1867.983965,129,108.472744
-2494.642822,123,108.585945
-3106.446632,130,108.704306
-1619.734345,125,108.81828
-2063.79863,130,108.936729
-2078.37637,141,109.06217
-2802.707479,132,109.180912
-2068.596087,125,109.295687
-1823.09975,114,109.40295
-2509.777262,142,109.534642
-1560.496683,117,109.647104
-2499.829855,116,109.766613
-1645.639528,139,109.893086
-2686.227866,146,110.026549
-2286.097544,133,110.149514
-1713.303691,125,111.181365
-2329.235375,152,111.323314
-2256.103158,149,111.454364
-3298.515633,137,111.579103
-2295.699677,114,111.687974
-2952.173209,143,111.816387
-2465.616662,134,111.938247
-3271.856432,141,112.064563
-2108.956231,137,112.187452
-2476.094912,116,112.297811
-2046.740767,134,112.418656
-3222.028122,138,112.542104
-2779.738851,144,112.670255
-2503.372375,122,112.782457
-2095.909333,143,112.910475
-1645.725892,122,113.933719
