#{"t_start": 1607710282.5373962, "env_id": null}
r,l,t
-2441.076708,95,49.121563
-2719.334507,90,49.709199
-2402.262524,90,50.25413
-2573.058658,84,50.871843
-3435.574153,90,51.411134
-2251.7469,95,51.989348
-1885.185867,82,52.573828
-2633.663121,88,53.131122
-2572.916474,82,53.664757
-2018.92762,87,54.19805
-2769.055514,90,54.797858
-1818.967263,85,55.323198
-2081.158237,86,55.87661
-2389.481186,84,56.409036
-2373.776549,75,56.964414
-2396.688438,97,57.577663
-1942.464428,89,58.117117
-2096.734458,93,58.674551
-2473.767006,88,61.104073
-2585.167592,93,61.658677
-2630.388717,98,62.25913
-1964.56237,84,62.778315
-2636.706958,84,63.357424
-2046.670018,85,63.873346
-1682.581173,79,64.409219
-1847.860271,94,64.940774
-2675.590207,80,65.515397
-2081.885418,78,66.027268
-2159.109256,83,66.579613
-2889.786133,101,67.139285
-2108.442012,106,67.707087
-2680.361788,92,68.27915
-2240.944366,95,68.892689
-2252.851937,102,69.467326
-2808.924794,81,70.057542
-2758.392514,86,70.657026
-3070.089408,82,71.265715
-2330.726234,92,71.822715
-2176.495845,84,72.382852
-2293.246254,81,72.940503
-2806.96927,93,73.462396
-2826.708199,102,75.902385
-2763.154557,79,76.466877
-2673.936546,82,76.993022
-2681.805065,96,77.537726
-2705.358219,83,78.084754
-2199.004028,89,78.634024
-3213.444636,92,79.22349
-2377.441978,87,79.799156
-2694.036478,83,80.307054
-2567.081208,88,80.862709
-2147.770302,93,81.441908
-2300.65663,79,82.016515
-2800.842811,95,82.53986
-2245.781254,75,83.124454
-2619.206679,97,83.711859
-2977.041705,98,84.264947
-2084.468868,79,84.742696
-2526.126339,82,85.258695
-1592.239649,94,85.800147
-1539.11139,92,86.447633
-2137.119292,84,86.999423
-2018.406755,87,87.514269
-1982.673602,99,88.110875
-2483.368807,95,90.613329
-2907.610241,92,91.182506
-2095.931735,76,91.773453
-2478.061288,88,92.349944
-3621.975272,97,92.92725
-1761.141008,91,93.458828
-1993.167949,81,93.981634
-2007.421922,96,94.54001
-2334.81888,75,95.065183
-2977.662911,87,95.598659
-2101.937535,76,96.108473
-2565.281886,93,96.657285
-2002.571446,106,97.310057
-3117.038099,86,97.864907
-2221.638509,89,98.413246
-3190.292351,88,98.974114
-2218.430306,92,99.539313
-2268.100841,81,100.126816
-1828.2291,84,100.683678
-1930.344529,92,101.194813
-1866.165146,85,101.744072
-2457.018581,96,102.316503
-2379.618101,96,102.856161
-2137.16638,81,105.234504
-1972.659309,103,105.83077
-2866.983675,98,106.405748
-3023.087487,98,107.041208
-3066.201846,94,107.596227
-2606.045658,91,108.238473
-3004.188317,100,108.810441
-2133.167102,71,109.324413
-2662.963577,94,109.912531
-3115.186653,95,110.480486
-2579.207901,99,111.080021
-3029.598434,84,111.614492
-3478.215203,94,112.173666
-2640.456535,96,112.733303
-1905.28911,89,113.291038
-1690.888901,80,113.808076
-2653.900096,84,114.447836
-2950.856341,83,114.984535
-2455.028634,90,115.518468
-2154.798629,104,116.141579
-3062.378606,90,116.708074
-1910.102623,88,117.24959
-1869.502961,98,119.912163
-2220.843447,93,120.451107
-2727.434391,107,121.140609
-2051.002686,90,121.693118
-1875.64149,94,122.238216
-2053.122249,93,122.799294
-2024.706351,103,123.383576
-2102.087588,92,123.92661
-2116.567136,97,124.540983
-1683.070268,82,125.148288
-2402.044868,102,125.774183
-1920.54641,83,126.337735
-2767.702218,95,126.999409
-2188.290708,97,127.529491
-2226.227526,104,128.0663
-2359.284662,102,128.680733
-2927.166735,97,129.261094
-2152.910455,104,129.899044
-1875.299227,82,130.474888
-3365.522142,86,131.031602
-2670.176839,93,131.564697
-2071.90108,90,132.126263
-2068.723163,80,134.628281
-2391.783026,90,135.201551
-2693.261808,101,135.777961
-2643.971392,101,136.335053
-1984.03186,82,136.850906
-1688.735814,104,137.484463
-2802.359153,98,138.157814
-2209.312865,92,138.731789
-2330.998298,88,139.259042
-3233.932383,113,139.840771
-3104.339172,92,140.449639
-1994.038501,108,141.025935
-3225.102819,98,141.607173
-2076.634715,89,142.194109
-2952.848521,86,142.726687
-2171.356179,94,143.287186
-2400.207876,105,143.848307
-2745.477332,90,144.448731
-1533.445863,90,145.008897
-3168.289095,101,145.695639
-2534.774957,94,146.2949
-2547.799783,94,148.740956
-2156.241029,91,149.265739
-3022.889144,103,149.865119
-2546.465604,101,150.432786
-2744.954663,91,150.972743
-2617.055178,93,151.514989
-2422.117461,87,152.052969
-2891.640005,101,152.624885
-1888.909787,100,153.197674
-2522.214667,91,153.745949
-2321.944282,84,154.295871
-2608.080097,98,154.884615
-2665.126643,107,155.468319
-2352.498752,108,156.075742
-2355.283822,94,156.66436
-3063.647934,104,157.216879
-3659.184734,101,157.782189
-2768.745213,90,158.340461
-2343.569087,90,158.90085
-1856.793098,87,159.458174
-2626.644619,86,160.027815
-2287.022931,100,160.578351
-1976.162986,90,163.025145
-1736.851749,87,163.561589
-3893.492166,113,164.214844
-3032.705163,99,164.835128
-3057.498947,95,165.447502
-2334.583704,86,166.02712
-2866.010456,104,166.629593
-2542.771829,99,167.192954
-2822.004651,101,167.835471
-3280.751163,99,168.397221
-2237.224434,102,169.016065
-2360.049866,108,169.613813
-2164.854549,95,170.150561
-2775.607843,98,170.75907
-2125.32275,91,171.33432
-2349.000531,84,171.860444
-2464.319595,82,172.366422
-2974.078642,108,172.98434
-3284.500623,105,173.641279
-2477.291432,91,174.183683
-2167.845211,102,174.758575
-1866.222866,90,177.077905
-2067.709265,82,177.597497
-3484.559465,100,178.191685
-2288.665223,112,178.773449
-2271.272103,97,179.349443
-3332.065958,102,179.92885
-1964.357636,92,180.53545
-2386.128286,102,181.100827
-2169.218591,87,181.595425
-1770.970494,84,182.144764
-2750.42259,94,182.702471
-2503.686895,79,183.287021
-2207.01237,115,183.950517
-2327.862361,104,184.491444
-1900.885826,85,185.015768
-2388.93325,85,185.547836
-2117.083698,85,186.052862
-2457.991421,96,186.592354
-2024.731632,87,187.169401
-1886.020631,90,187.728407
-2367.839013,92,188.265897
-1738.325453,87,188.792026
-2765.868108,102,191.345497
-2247.108947,86,191.882254
-2498.739647,93,192.425191
-2827.169739,86,192.952579
-2215.271738,87,193.495564
-2535.545957,103,194.096538
-3227.400077,91,194.655973
-1953.152621,96,195.258747
-2273.241824,100,195.845744
-2242.360525,95,196.384388
-2686.347705,103,197.008922
-2570.059278,93,197.597113
-2932.851733,87,198.117309
-2934.102179,103,198.699921
-3014.3955,105,199.267742
-2321.088699,92,199.78155
-1649.201851,90,200.295672
-1799.522286,87,200.8322
-2639.848635,91,201.413951
-2262.865759,102,201.993804
-1957.272861,87,202.531466
-2235.043671,82,203.049782
-2278.415515,95,205.631355
-3077.831923,106,206.212775
-2305.30786,104,206.76821
-3222.000587,93,207.335304
-3216.552442,104,207.949402
-3312.439145,86,208.478974
-2471.453025,91,209.042161
-2060.066942,99,209.615082
-2769.057092,95,210.143986
-3015.843987,82,210.699442
-2830.901681,99,211.269559
-1729.612116,88,211.833205
-2896.077963,101,212.45013
-3328.938544,101,213.01661
-2392.761815,102,213.59035
-2439.64704,101,214.157663
-3233.329007,107,214.758353
-2323.585371,88,215.295527
-2505.710514,100,215.881336
-1899.59506,94,216.4354
-2362.365995,87,216.97909
-3089.165984,86,219.441593
-2502.420379,91,219.993813
-2520.169897,94,220.546345
-2122.604781,83,221.063681
-2222.671491,88,221.60209
-2490.475574,105,222.185669
-3614.080952,93,222.770859
-2931.334869,86,223.333572
-2338.600169,101,223.877211
-2602.636976,84,224.396103
-2180.168082,81,224.926964
-2575.266841,95,225.46875
-2335.234403,96,225.995082
-3278.839971,100,226.558155
-2349.980624,106,227.21742
-1670.490854,100,227.811638
-2454.253561,89,228.334007
-2908.320913,89,228.865917
-2259.867567,92,229.430383
-2910.727497,107,230.034933
-2388.529071,94,230.549757
-2523.340101,92,231.116932
-2649.855572,90,233.583599
-2509.223934,80,234.100228
-2480.270551,89,234.633853
-1800.200129,98,235.199098
-3540.925227,93,235.776409
-2192.913052,80,236.446593
-2512.633754,85,237.112329
-2447.141641,102,237.701115
-2508.474901,99,238.250288
-3362.738557,113,238.842748
-2563.899998,88,239.367541
-2315.930948,113,239.942265
-2772.052528,102,240.548913
-2850.362849,109,241.192355
-2218.215808,87,241.77576
-2074.727965,95,242.334444
-2550.948128,74,242.830085
-2535.955682,97,243.402421
-2259.493244,103,244.017557
-2406.387367,95,244.553819
-1885.787954,87,245.103928
-1649.059282,91,245.701706
-2370.705415,105,248.246311
-3775.208771,99,248.817509
-2130.712155,107,249.360753
-2451.090293,97,249.894886
-2013.692409,84,250.437986
-2661.144778,92,250.982798
-1989.906577,78,251.494896
-1993.514083,82,252.034292
-1757.466863,90,252.599302
-2957.207205,99,253.267706
-3005.370397,89,253.802674
-2038.665245,84,254.333043
-1991.238185,89,254.894262
-2481.991879,101,255.481614
-2648.420963,107,256.064548
-2140.186824,101,256.648881
-2448.43403,82,257.161914
-3272.48011,102,257.749551
-3474.043849,93,258.306616
-1824.172778,89,258.9614
-2216.714282,90,259.530343
-2307.48443,98,260.08368
-1844.015448,91,262.78318
-3403.985377,95,263.348896
-3277.052392,89,263.9227
-2880.445536,88,264.543745
-2114.691853,98,265.126529
-3214.997443,97,265.736388
-1934.811675,87,266.274597
-3142.905966,95,266.849134
-1662.387562,87,267.392925
-1561.949124,89,267.935338
-2717.708832,100,268.518774
-3003.143959,103,269.08428
-2454.925121,87,269.662956
-1804.750968,82,270.234347
-2627.521714,88,270.801988
-1902.80533,81,271.335352
-2402.60674,89,271.914219
-1805.672203,86,272.469923
-2728.50517,96,273.050762
-1674.450033,106,273.657855
-2101.491828,86,274.183025
-2269.529532,109,274.780405
-1809.931131,96,277.277656
-2245.297754,85,277.852662
-3148.72556,111,278.453003
-3041.573922,102,279.054535
-2751.589953,78,279.599796
-2114.950858,95,280.170326
-2788.193773,92,280.734245
-3754.324952,97,281.311986
-2650.496673,89,281.843532
-2247.237491,95,282.389391
-3241.375381,92,282.98394
-2846.066754,86,283.486585
-2153.382337,112,284.066991
-2088.73322,100,284.688259
-2264.345284,87,285.296506
-2366.608666,105,285.838429
-3112.479892,90,286.396655
-1962.892629,84,286.953279
-3278.164743,90,287.534055
-2841.277495,96,288.053795
-2796.344788,92,288.584014
-3018.594743,91,289.146879
-2865.587395,85,291.600654
-3085.816571,96,292.19856
-2076.29205,84,292.784659
-2810.529973,82,293.327384
-2044.293098,99,293.929127
-1955.264933,117,294.538176
-2667.468327,117,295.13324
-2386.11444,101,295.73537
-2236.167017,95,296.271124
-2922.731595,98,296.864495
-1864.592443,89,297.451181
-1591.021288,99,297.976529
-2962.818304,104,298.519612
-2372.376479,104,299.127145
-2402.093143,105,299.718837
-2203.465038,96,300.268334
-3308.565062,108,300.854755
-2583.016555,105,301.430724
-1494.277779,92,302.010816
-1996.393436,94,302.616673
-1973.143342,89,303.18801
-2342.24903,86,305.612421
-1978.41113,112,306.252578
-3251.83424,110,306.885503
-2168.766153,112,307.504535
-2168.756982,90,308.066658
-2647.659966,111,308.669574
-1999.720807,94,309.234275
-2479.802084,109,309.830172
-2167.852052,85,310.396841
-2313.636765,108,311.016183
-3257.911798,113,311.636803
-2619.223075,105,312.193566
-2228.349758,108,312.761893
-1940.088216,101,313.411409
-2410.410365,98,313.93844
-1836.213074,91,314.482586
-1975.39615,90,315.050138
-3138.776026,106,315.702774
-1996.051134,98,316.267785
-2078.172641,98,316.84569
-2785.613677,116,319.471246
-3066.372631,98,320.043951
-2427.718869,95,320.630255
-3330.888452,120,321.237442
-2283.674647,91,321.837273
-2133.626454,102,322.388433
-2541.692939,89,322.945335
-2150.792633,105,323.570479
-2828.384584,102,324.127987
-2710.125803,94,324.729878
-2929.206243,106,325.33297
-2019.54516,96,325.911775
-2616.744903,103,326.484341
-2196.894823,90,327.018146
-2637.042058,109,327.586648
-1434.203496,101,328.188247
-3086.355191,110,328.808787
-2593.771243,114,329.378247
-2573.400255,98,329.945815
-2431.254165,98,330.529074
-2088.681756,89,333.087843
-2828.632612,99,333.690965
-1831.520728,99,334.257688
-2569.032345,115,334.866314
-2313.356736,97,335.435588
-1781.945412,106,336.052084
-3104.616786,106,336.665327
-2736.859743,112,337.295136
-3242.410403,101,337.876746
-2497.890377,107,338.462191
-2870.818948,104,339.028981
-2640.58395,92,339.586681
-2634.613405,90,340.1473
-4122.77435,108,340.729523
-2067.443522,92,341.280078
-1908.189694,119,341.8525
-1924.729713,81,342.380371
-2325.11305,97,342.968097
-3598.335229,97,343.554479
-1878.717906,86,344.053276
-2233.499498,117,346.519612
-2658.553494,105,347.116063
-2447.672103,98,347.669259
-3364.018705,106,348.227846
-2558.211144,107,348.827007
-2732.547707,105,349.378211
-2439.137575,112,350.006225
-1527.716937,107,350.583043
-2230.838261,104,351.151639
-3195.635123,89,351.686278
-2312.337782,99,352.249151
-2287.535165,99,352.845425
-2453.427523,104,353.412815
-2500.862038,97,354.006291
-2226.72512,111,354.602413
-2151.306882,100,355.153365
-1668.607577,103,355.806187
-2198.196447,106,356.416061
-2284.455306,121,357.049236
-2581.50435,103,357.620971
-2614.217688,102,360.144865
-2101.585584,115,360.712048
-3466.295299,100,361.335947
-2269.409161,105,361.884468
-2241.921124,108,362.496226
-3232.604516,101,363.130644
-1811.75356,103,363.702997
-2350.137256,91,364.248541
-2299.400168,111,364.910079
-2644.409208,82,365.418403
-1671.651453,102,366.050087
-2274.193626,114,366.623043
-3379.618844,95,367.218664
-3082.734572,107,367.802375
-2719.51945,102,368.36058
-2955.760724,99,368.918445
-1619.89146,111,369.555935
-2945.615108,112,370.153272
-1860.827898,98,370.714524
-1632.883701,97,371.285583
-1920.442832,93,373.819844
-2490.3769,98,374.435223
-2610.898386,96,375.032395
-2129.941342,95,375.57954
-2486.35326,119,376.202815
-2800.472741,98,376.746055
-2629.495198,113,377.353454
-2597.090781,95,377.911432
-2818.643655,99,378.48019
-2400.460773,95,379.045695
-3051.008395,107,379.677315
-1971.327073,96,380.288498
-2973.213366,95,380.83495
-3297.841541,97,381.402576
-2183.8753,107,381.977811
-2502.129854,115,382.60953
-2484.182696,90,383.137789
-1641.573962,86,383.694752
-2760.122502,103,384.245586
-2587.525975,94,384.786246
-2760.060444,106,385.385798
-2748.042901,118,387.945135
-2745.239842,97,388.519122
-2641.788633,94,389.139097
-1626.700042,120,389.763583
-2193.976461,89,390.364457
-2660.273314,117,390.94122
-2640.772976,110,391.538774
-3072.968724,87,392.057083
-2500.316672,99,392.69701
-3242.949563,95,393.252442
-2109.608337,94,393.800238
-3280.463137,104,394.362133
-2107.813454,99,394.939516
-3456.962035,104,395.619267
-3326.097951,105,396.187354
-1899.614816,99,396.76129
-3066.364567,112,397.354102
-3062.750321,125,397.995281
-1908.14961,106,398.552219
-3011.711588,103,401.079179
-2812.945108,130,401.695778
-3511.770977,102,402.271232
-2248.756774,108,402.857076
-2397.559954,123,403.511994
-3574.96558,114,404.084168
-2406.970183,105,404.654777
-3232.200521,106,405.243485
-2446.995127,101,405.863956
-2141.549303,92,406.434947
-2017.676844,134,407.067892
-2542.465391,102,407.636201
-2060.941316,86,408.154819
-2748.139389,102,408.715872
-2695.421835,101,409.254042
-2075.524736,94,409.773538
-3366.220354,125,410.435721
-2386.474553,111,411.037256
-2537.923391,97,411.630143
-3210.640048,107,414.198707
-1515.691196,91,414.75123
-3238.064096,110,415.338843
-3192.530335,109,415.906833
-2246.147081,104,416.472231
-2413.905557,133,417.08956
-3101.80925,108,417.653103
-2724.795744,108,418.22972
-2406.109348,93,418.829322
-1724.889893,95,419.422476
-1761.811897,102,419.983469
-2691.193567,99,420.600648
-3211.387651,107,421.220071
-2963.075141,122,421.809832
-2382.194243,114,422.436976
-2591.862661,119,423.067774
-2146.266824,101,423.633536
-2155.321364,87,424.173151
-2427.357333,113,424.824619
-2760.577008,108,425.417902
-3348.087877,115,428.019761
-3735.519346,100,428.552025
-2481.057514,79,429.106793
-3334.137537,97,429.647146
-3050.129954,114,430.28361
-2035.923877,111,430.880901
-2963.917429,94,431.405664
-3167.507193,110,431.987032
-2220.473655,105,432.546863
-2008.0128,94,433.107115
-1889.021224,99,433.664122
-1928.409266,111,434.257101
-2077.052122,93,434.788337
-2267.140649,106,435.372917
-1719.546189,102,435.944518
-2259.405157,112,436.583036
-3097.648884,105,437.174083
-1845.70874,90,437.713062
-2281.112205,104,438.265003
-2195.932709,97,438.803563
-2202.807081,110,441.427489
-2958.192069,101,442.004152
-2100.500134,109,442.686725
-2900.300928,103,443.337515
-2830.661705,94,443.88625
-2437.319106,88,444.45221
-2425.938418,88,444.984437
-2823.380958,94,445.584073
-2792.728679,98,446.177102
-2002.374205,104,446.786459
-2754.286771,104,447.35746
-1906.956193,115,448.035431
-2368.881168,111,448.705611
-2906.373793,105,449.302546
-2199.401574,103,449.913877
-2091.286302,107,450.485096
-2932.573853,91,451.102134
-2598.613445,103,451.698519
-2736.847782,111,452.402602
-1948.576408,89,453.228987
-2648.063126,105,456.897391
-2536.827847,88,457.571795
-2777.896165,116,458.258414
-2508.284211,119,459.01903
-1842.87896,100,459.61836
-2415.766568,109,460.271362
-1350.824819,102,460.854823
-3086.587971,96,461.409147
-2982.05071,104,461.987743
-2718.047474,112,462.606369
-3434.774711,98,463.1719
-1963.052544,104,463.721693
-3661.13986,108,464.340804
-1664.333271,93,464.931515
-2002.881486,122,465.605197
-1647.534752,102,466.156755
-2858.182811,126,466.798103
-2806.736229,109,467.433672
-1684.924144,97,468.003121
-3430.43985,95,470.686134
-2212.960405,103,471.255159
-2351.387903,124,471.841264
-2516.264598,116,472.507038
-2146.074562,96,473.133318
-2855.067683,121,473.782549
-3629.791884,121,474.396451
-3063.639152,106,475.021557
-2423.745519,94,475.560719
-1829.642041,97,476.118197
-2795.451823,108,476.678968
-2631.915364,89,477.239253
-2250.174832,89,477.773164
-1881.727478,108,478.354734
-2292.495157,105,478.936696
-1972.725711,101,479.517933
-2070.788297,116,480.124435
-3023.205928,116,480.78218
-2532.414364,99,481.407645
-1662.640092,105,481.984165
-2197.021344,87,484.637102
-3424.546468,108,485.182574
-3718.426859,109,485.809755
-2685.410517,119,486.416094
-2934.306643,103,486.987834
-2448.02199,107,487.574982
-2402.575271,86,488.141222
-2649.382551,96,488.708634
-2328.948235,119,489.319112
-2092.08045,99,489.886646
-2549.54334,88,490.436543
-2150.362041,101,491.006502
-2263.082092,100,491.617665
-2314.215135,128,492.223437
-1937.66687,89,492.793534
-1919.31312,123,493.398854
-1751.369868,92,493.961244
-3508.767377,107,494.54069
-1872.810908,101,495.154185
-1902.779255,110,497.790102
-3621.888726,116,498.387798
-2047.098548,106,498.961832
-3223.112714,101,499.536264
-2428.246615,125,500.163691
-2122.331739,116,500.791602
-2642.566534,110,501.426166
-2522.978309,109,502.03792
-3130.800679,107,502.638584
-1711.64936,117,503.237576
-2853.274317,98,503.790138
-2324.265129,107,504.388405
-1920.491617,99,504.933463
-1695.405983,91,505.48759
-2519.630269,91,506.037854
-2296.695762,94,506.653203
-2419.076864,115,507.306803
-2897.001771,108,507.989249
-3570.072371,105,508.535303
-3078.536951,99,509.104787
-2838.403894,109,511.731882
-3491.495654,108,512.306115
-3588.578984,108,512.890118
-1989.767394,101,513.506215
-2403.425878,112,514.090945
-2526.079648,114,514.692171
-2575.945336,96,515.237187
-2200.242743,105,515.850192
-2584.016402,103,516.433895
-3391.16844,92,517.006811
-1933.009519,93,517.642238
-2480.689628,102,518.239869
-3098.71547,103,518.859941
-2300.72479,89,519.421313
-1826.01877,109,520.057039
-3006.373422,104,520.62663
-3287.374005,100,521.240599
-2149.181766,96,521.78244
-2638.086046,107,522.381688
-2504.44509,97,522.935144
-2595.631418,89,525.575073
-3037.333224,99,526.157397
-3048.197855,124,526.771646
-2615.392686,114,527.342709
-2156.179567,102,527.971167
-2683.648708,122,528.633906
-2152.666134,120,529.247012
-1770.37765,99,529.856014
-2733.686766,86,530.407262
-2550.735027,92,530.925592
-1958.147488,97,531.518584
-3317.633104,103,532.126417
-2430.631195,118,532.707498
-1687.651564,94,533.268344
-2448.505859,119,533.859734
-2008.540403,85,534.382567
-2744.199761,100,535.005919
-1396.929427,93,535.531327
-2647.961187,106,536.122701
-1601.804385,95,536.673033
-2053.474826,105,539.37602
-3068.135636,106,539.953969
-1569.588664,110,540.540691
-3396.812687,104,541.094672
-1872.645229,100,541.741617
-2098.66529,94,542.292207
-1864.242065,93,542.823001
-1851.005021,85,543.383868
-2867.785317,100,543.940198
-3132.041967,91,544.541716
-2975.368634,111,545.2079
-3570.639965,104,545.783277
-4100.762812,108,546.33377
-2117.052828,107,546.997864
-1896.857777,99,547.548793
-2278.549043,110,548.203268
-1875.377903,123,548.833793
-1938.314588,103,549.38845
-1920.386384,100,549.939653
-2077.816618,131,552.571811
-2424.99576,103,553.130806
-1551.806943,92,553.708737
-2199.544336,108,554.361278
-3926.16063,109,554.983527
-1707.371639,93,555.507894
-3181.678806,113,556.15893
-2317.920409,102,556.72326
-2570.775903,119,557.326852
-1514.650503,94,557.925579
-2693.21615,111,558.541186
-3189.637072,105,559.137743
-2096.618527,95,559.674338
-2258.55254,111,560.237384
-2817.920254,94,560.790045
-1926.734421,107,561.38886
-1763.770817,98,561.937934
-2875.528966,92,562.481925
-2375.241803,96,563.007163
-3774.630741,105,563.575635
-3526.001375,107,566.255381
-2097.906461,115,566.838538
-2558.914636,95,567.408396
-3288.022266,112,567.99315
-2701.869932,104,568.605344
-1868.360946,86,569.158384
-2101.89226,109,569.734601
-1662.523243,93,570.316165
-2439.662905,98,570.905991
-3392.350051,114,571.475819
-2359.816434,95,572.07404
-2103.012233,90,572.655575
-2893.180802,110,573.270026
-2409.458835,119,573.837632
-2862.054978,115,574.466661
-3027.898159,119,575.114837
-3849.068424,109,575.716989
-2633.989673,92,576.259958
-1867.37412,106,576.90965
-2136.746816,92,577.420014
-3678.233179,115,580.041028
-2025.335458,113,580.651825
-2010.0866,105,581.257579
-3422.908231,102,581.876533
-2036.353079,106,582.456848
-2406.569709,95,582.993728
-2160.196103,87,583.538983
-2385.023042,99,584.176698
-2342.412412,110,584.80676
-1475.007476,96,585.365993
-2210.89041,117,585.958436
-2889.799823,120,586.606802
-2089.799571,93,587.158381
-2008.981307,100,587.730813
-2530.551512,85,588.255774
-2220.672927,104,588.826686
-2770.126238,105,589.442171
-2726.781935,101,590.026296
-1897.946897,96,590.606556
-2061.862521,115,591.239908
-3154.421901,98,593.773725
-2777.38877,90,594.323775
-2844.051624,95,594.88609
-2323.467043,100,595.500019
-2636.266693,101,596.093545
-2364.251614,119,596.689289
-2151.014566,119,597.350806
-2266.15964,107,597.923771
-2671.540949,110,598.505557
-2849.121819,97,599.055426
-2490.078646,128,599.724358
-2061.008954,101,600.338577
-2390.949583,83,600.872701
-2762.882712,92,601.405511
-2104.31781,98,601.993599
-1811.804666,100,602.53668
-2196.938822,95,603.123775
-2414.848282,109,603.722152
-3825.375541,104,604.320495
-2839.058847,89,604.898667
-2067.363946,113,607.624248
-1541.161391,104,608.224878
-2656.609091,83,608.800489
-2725.932894,100,609.37496
-1838.549958,105,609.944355
-1886.237027,92,610.509223
-3762.698027,118,611.090871
-2832.8693,91,611.622597
-3131.314722,109,612.234868
-2232.87626,99,612.793944
-3408.066351,114,613.459439
-1841.07036,92,614.024014
-2369.081469,90,614.605079
-1866.799403,97,615.177648
-1591.759864,88,615.789403
-2790.260798,109,616.487129
-3190.601726,111,617.117423
-2639.649349,96,617.656149
-2827.941298,107,618.239885
-2374.844737,109,618.841292
-2315.723691,102,621.506812
-3004.976947,87,622.060961
-3044.513165,95,622.644097
-2026.450305,81,623.207197
-2361.184859,104,623.778818
-2158.611248,105,624.387958
-1747.585536,97,624.935533
-1632.694275,93,625.494909
-2103.771802,115,626.093836
-3023.567954,93,626.676349
-3125.63577,95,627.290586
-3194.513249,102,627.856783
-2577.92796,108,628.463723
-2369.451657,105,629.060097
-2923.769624,111,629.673692
-3259.11956,114,630.253049
-3080.090836,129,630.873719
-1926.116693,97,631.423316
-3208.176745,128,632.059508
-2859.935154,129,632.651919
-3427.338552,102,635.24403
-3487.646412,112,635.866433
-2557.386228,101,636.441789
-2063.73539,110,637.060383
-2533.348976,89,637.628659
-1983.353289,99,638.177518
-2281.007054,106,638.774296
-1722.624624,100,639.391803
-3271.096771,118,639.996126
-2459.590361,85,640.541141
-2481.781706,116,641.128082
-2600.755595,103,641.710777
-3431.478696,96,642.25726
-2251.616638,100,642.79962
-2667.804342,93,643.388788
-2469.406563,99,643.959494
-3327.794667,120,644.570975
-3243.241363,98,645.114355
-3090.503103,111,645.745029
-1686.526943,111,646.340148
-1698.5242,112,648.876869
-2049.779432,102,649.436786
-2093.605964,102,650.073002
-2678.707342,107,650.636414
-1715.517448,94,651.236851
-3171.053916,105,651.840991
-2175.716134,118,652.458019
-2171.07297,117,653.077067
-2038.980987,131,653.72579
-1943.541959,95,654.307334
-2620.828634,99,654.876046
-3590.127499,114,655.504701
-2694.894698,89,656.060151
-2393.303137,94,656.651894
-2433.713191,106,657.273569
-2764.672474,117,657.858797
-3536.939979,102,658.485325
-2063.453226,104,659.038533
-2753.63187,93,659.623556
-2529.690089,105,662.207645
-1762.901719,113,662.790247
-2191.505394,122,663.441005
-1898.648572,95,663.97244
-3433.365206,130,664.602514
-3520.678205,109,665.17368
-1703.898978,118,665.77434
-3035.109215,107,666.376019
-2554.808805,112,667.019334
-2926.045659,107,667.575943
-3488.445261,103,668.191208
-3388.700133,112,668.776885
-3653.233565,104,669.344534
