#{"t_start": 1607710282.5373962, "env_id": null}
r,l,t
-2665.395565,84,1.009613
-2587.5315,83,1.527106
-3343.27373,98,2.132834
-2791.26749,83,2.723041
-2816.06627,78,3.233266
-2890.749874,86,3.792921
-2471.621802,80,4.328633
-2554.65436,80,4.84714
-2554.922169,75,5.342675
-2375.186179,84,5.88064
-2608.103887,94,6.456748
-2917.464679,93,7.041377
-2602.62637,94,7.613029
-1611.071132,82,8.131689
-2079.460387,80,8.664665
-2038.45209,77,9.196191
-2098.998694,85,9.7137
-1966.665661,78,10.245183
-2267.49846,97,10.841372
-2327.629607,83,11.425409
-2720.722078,104,12.058507
-2120.016167,73,12.591529
-2285.420673,78,13.087559
-2445.342563,81,13.672495
-2616.939247,96,16.304322
-1954.715187,95,16.878047
-2416.846566,95,17.445465
-2110.272626,100,18.040518
-2579.765697,91,18.597883
-2223.490561,83,19.140866
-2787.194565,75,19.689757
-3339.16571,97,20.260489
-2309.225519,90,20.874203
-1891.779132,73,21.38149
-3139.83028,96,21.975609
-2345.731312,80,22.487524
-2658.331754,95,23.082765
-2547.793733,80,23.627864
-3235.360476,90,24.189569
-3055.498464,89,24.740594
-2549.451833,90,25.322291
-2675.697809,93,25.846047
-2730.463003,83,26.351016
-1872.490071,80,26.876342
-1741.64814,74,27.40373
-2193.231634,82,27.919058
-2318.635266,94,28.459219
-2634.291251,90,31.031568
-2885.354563,92,31.587899
-2628.90589,89,32.130308
-2499.812072,81,32.658277
-1731.382183,76,33.201952
-2073.821514,93,33.763695
-2892.778671,89,34.327611
-2629.044235,91,34.849052
-2763.206619,89,35.398803
-2329.999229,79,35.928584
-3256.458542,93,36.526838
-1885.65731,83,37.043672
-2329.562262,95,37.595294
-2886.473719,85,38.115479
-2336.763222,89,38.657251
-2753.995455,88,39.179151
-2859.087637,100,39.772972
-2651.812459,80,40.359912
-2181.176951,82,40.871944
-2360.981641,84,41.377917
-3120.622737,90,41.941914
-2796.713198,92,42.522554
-2815.264865,94,43.082075
-2694.930681,82,45.907078
-1978.82858,78,46.427118
-2243.216451,80,46.923267
-2643.981063,98,47.461641
-2398.660619,89,47.990694
-2826.663227,99,48.538604
